source,target
2073,4
2075,2
2076,1
2076,4
2077,2
2077,4
2079,7
2080,4
2090,4
2106,4
2107,5
2109,7
2115,2
2115,3
2116,7
2117,5
2119,4
2123,5
2125,1
2130,4
2131,2
2133,3
2133,4
2140,5
2141,4
2145,6
2148,4
2149,4
2150,6
2150,7
2152,4
2152,5
2156,4
2157,4
2161,1
2161,7
2173,5
2173,6
2174,3
2174,4
2176,4
2179,2
2179,4
2179,5
2180,3
2181,2
2186,2
2189,2
2190,2
2193,6
2194,4
2206,6
2207,4
2209,4
2220,4
2221,4
2221,5
2224,4
2228,4
2231,4
2232,4
2234,7
2237,4
2238,2
2238,5
2238,6
2240,4
2241,2
2244,1
2244,4
2247,5
2247,7
2248,4
2249,2
2259,2
2259,7
2262,4
2264,5
2265,6
2265,7
2268,2
2271,4
2272,7
2273,4
2275,5
2277,5
2280,4
2287,2
2290,6
2291,5
2293,4
2295,3
2295,4
2297,2
2303,5
2304,7
2307,2
2312,5
2314,4
2317,5
2329,2
2332,2
2345,4
2346,4
2348,2
2348,3
2349,3
2354,4
2356,5
2359,3
2364,2
2366,4
2370,4
2371,4
2376,4
2377,6
2378,2
2384,4
2392,4
2398,2
2400,2
2401,4
2402,2
2407,5
2408,5
2408,6
2411,4
2414,4
2416,4
2419,4
2422,2
2422,6
2424,4
2428,2
2428,4
2428,5
2428,6
2429,4
2429,6
2430,5
2438,4
2439,2
2441,1
2444,4
2449,7
2450,2
2450,7
2454,5
2460,2
2462,5
2465,4
2465,7
2466,2
2466,3
2466,4
2472,4
2476,4
2478,4
2480,5
2487,4
2493,4
2499,1
2499,5
2500,4
2502,2
2503,4
2512,4
2513,4
2513,7
2520,5
2525,4
2537,4
2543,3
2543,4
2543,5
2545,4
2545,6
2548,4
2551,2
2553,2
2553,5
2556,3
2556,4
2556,6
2564,2
2567,4
2570,4
2571,6
2571,7
2574,2
2574,3
2574,7
2580,5
2585,4
2587,4
2594,3
2596,4
2598,1
2608,5
2617,4
2620,7
2622,4
2623,2
2624,1
2626,4
2639,3
2639,5
2643,2
2645,2
2645,4
2652,4
2655,4
2656,1
2660,4
2662,4
2662,5
2663,4
2664,2
2682,4
2687,2
2693,4
2693,5
2694,2
2694,3
2697,4
2707,1
2710,1
2710,5
2712,4
2715,4
2715,7
2716,4
2724,2
2724,3
2724,6
2744,4
2745,6
2747,4
2748,2
2749,2
2749,4
2757,4
2759,7
2768,5
2769,6
2777,5
2779,4
2788,2
2790,2
2791,4
2795,5
2796,3
2804,2
2811,4
2811,6
2812,4
2814,2
2814,6
2816,2
2816,4
2818,4
2821,4
2822,2
2823,2
2825,2
2837,6
2848,6
2848,7
2849,4
2850,2
2850,5
2854,2
2854,4
2860,2
2871,2
2872,2
2876,4
2877,7
2882,2
2882,4
2888,4
2888,6
2894,2
2895,2
2898,1
2898,4
2898,5
2902,4
2903,2
2908,2
2914,4
2932,1
2957,5
2957,6
2958,4
2960,5
2961,4
2965,4
2968,7
2971,4
2971,6
2972,4
2973,2
2980,2
2982,5
2983,5
2993,4
2997,5
3004,1
3005,2
3006,2
3011,3
3011,5
3014,1
3014,2
3020,4
3022,2
3023,1
3023,6
3023,7
3025,5
3028,2
3029,1
3029,4
3029,7
3033,7
3039,2
3043,1
3043,6
3044,1
3044,2
3044,4
3052,4
3052,7
3056,2
3058,4
3059,2
3066,2
3066,7
3067,4
3068,1
3072,1
3077,2
3085,1
3085,6
3085,7
3086,1
3086,2
3090,4
3104,4
3105,1
3109,2
3117,6
3118,2
3120,7
3122,6
3124,2
3126,2
3128,2
3132,4
3133,1
3138,7
3145,2
3147,7
3160,1
3164,2
3179,2
3184,7
3186,6
3186,7
3199,2
3202,2
3202,7
3206,7
3209,2
3210,4
3216,3
3217,7
3219,7
3221,1
3221,6
3230,2
3237,2
3248,4
3248,7
3250,7
3253,2
3257,1
3257,6
3267,2
3270,2
3271,1
3273,4
3273,6
3273,7
3275,1
3283,2
3285,2
3285,7
3286,7
3287,6
3287,7
3290,2
3293,2
3294,6
3303,6
3310,2
3318,7
3326,4
3327,7
3333,1
3333,2
3333,6
3334,7
3343,4
3357,2
3360,2
3361,1
3366,7
3379,4
3385,2
3390,1
3390,2
3390,3
3390,4
3394,2
3400,7
3403,4
3406,2
3411,7
3416,1
3426,2
3426,5
3426,6
3427,6
3444,2
3445,2
3445,4
3446,1
3451,2
3455,2
3460,1
3462,7
3467,1
3470,2
3478,2
3485,2
3489,1
3490,1
3495,7
3498,2
3498,3
3502,7
3504,7
3510,2
3513,4
3514,7
3518,6
3520,2
3521,2
3522,2
3527,1
3527,5
3528,2
3528,5
3529,2
3532,3
3533,2
3535,2
3539,2
3539,6
3541,2
3541,3
3542,2
3544,2
3555,2
3555,7
3572,2
3574,2
3580,4
3582,2
3584,3
3589,6
3594,2
3596,2
3602,7
3605,2
3608,2
3610,2
3629,6
3639,2
3641,1
3641,6
3641,7
3646,2
3650,2
3653,6
3653,7
3656,1
3657,4
3657,6
3659,2
3662,6
3665,3
3669,2
3669,7
3670,1
3670,7
3672,5
3675,2
3681,2
3684,2
3690,3
3690,5
3696,2
3697,2
3698,3
3699,6
3700,2
3711,3
3711,6
3714,1
3714,2
3720,2
3724,1
3733,4
3742,2
3742,3
3742,7
3743,2
3747,2
3753,4
3757,1
3763,1
3763,2
3769,2
3774,1
3779,7
3780,2
3780,6
3786,2
3790,3
3793,4
3796,1
3796,2
3796,3
3796,4
3808,2
3814,2
3815,2
3818,2
3831,2
3833,6
3835,4
3836,2
3838,2
3844,2
3852,1
3854,2
3855,2
3859,2
3860,2
3861,7
3869,2
3872,2
3873,2
3880,2
3885,2
3885,4
3892,1
3895,2
3897,2
3907,2
3908,2
3909,2
3912,2
3916,4
3919,2
3919,7
3922,4
3923,2
3927,2
3931,2
3935,7
3945,2
3946,2
3952,2
3953,2
3955,5
3956,2
3957,2
3960,2
3960,6
3962,2
3969,2
3969,6
3972,2
3974,1
3974,2
3975,2
3975,4
3976,4
3977,2
3978,2
3979,2
3982,2
3987,2
3987,6
3988,2
3990,4
3992,2
3995,2
3997,2
4000,2
4003,7
4011,1
4011,2
4011,6
4014,1
4014,5
4015,2
4022,2
4025,2
4026,2
4026,7
4028,2
4030,2
4039,1
4041,2
4043,2
4051,2
4051,5
4051,6
4053,3
4053,6
4054,1
4054,2
4057,3
4058,2
4060,2
4062,2
4068,2
4070,6
4074,3
4075,2
4077,5
4083,3
4086,2
4089,2
4089,5
4094,2
4097,2
4101,2
4101,3
4122,2
4123,7
4127,1
4127,2
4127,4
4129,1
4129,4
4132,5
4139,2
4139,6
4145,2
4148,2
4148,6
4150,3
4159,2
4159,7
4165,2
4168,2
4168,7
4170,2
4176,2
4176,3
4177,1
4179,2
4184,1
4186,7
4187,2
4200,7
4208,7
4212,2
4219,1
4221,1
4221,2
4222,2
4236,2
4238,4
4242,2
4247,1
4247,2
4250,2
4251,2
4261,2
4263,2
4266,4
4273,2
4277,2
4277,3
4278,3
4285,2
4287,2
4292,2
4295,2
4298,2
4302,3
4305,2
4310,2
4318,2
4320,2
4322,2
4330,1
4330,2
4338,3
4340,3
4349,2
4350,4
4353,1
4353,3
4358,5
4359,5
4364,1
4364,2
4367,5
4371,2
4372,2
4377,2
4382,6
4384,2
4386,7
4389,1
4389,2
4391,2
4392,2
4395,7
4398,2
4406,2
4409,4
4409,6
4409,7
4417,2
4418,5
4424,2
4428,4
4434,3
4438,2
4439,7
4442,7
4445,1
4445,2
4448,2
4453,2
4454,1
4454,2
4462,2
4463,4
4469,2
4470,1
4473,2
4474,7
4475,2
4479,6
4480,6
4484,2
4485,2
4489,2
4495,7
4498,2
